limit_profile,index,target_wavelength_nm,measured_wavelength_nm,wavelength_error_pm,target_power_mw,measured_power_mw,power_error_percent,smsr_db,peak_count,single_mode_pass,gain_ma,soa_ma,phase_ma,wavelength_a_ma,wavelength_b_ma,gain_code,soa_code,phase_code,wavelength_a_code,wavelength_b_code,pdt_reference_code,pdr_reference_code,power_feedback_channel,power_feedback_reference_code,power_feedback_rail_margin_code,power_feedback_hardware_eligible,guard_stage_count,guard_hold_ms_per_stage
fullband_2001_145mA_v1,764,1540.280000,1540.27952000,-0.480000,2.056000,2.048836719,-0.348409,26.356402,154,1,144.998932,128.878784,6.846008,29.871826,24.135742,63351,56308,22433,24471,19772,,,,0,0,0,0,0
fullband_2001_145mA_v1,765,1540.300000,1540.29919000,-0.810000,2.056000,2.060505898,0.219158,26.252792,162,1,144.998932,124.266815,6.545715,29.998779,24.144287,63351,54293,21449,24575,19779,,,,0,0,0,0,0
fullband_2001_145mA_v1,766,1540.320000,1540.31885000,-1.150000,2.056000,2.059681404,0.179057,23.674872,36,1,144.998932,125.493622,6.401672,29.781494,23.151855,63351,54829,20977,24397,18966,,,,0,0,0,0,0
fullband_2001_145mA_v1,767,1540.340000,1540.34029000,0.290000,2.056000,2.050828551,-0.251530,27.382199,151,1,144.998932,116.111755,2.676392,1.500244,26.999512,63351,50730,8770,1229,22118,,,,0,0,0,0,0
fullband_2001_145mA_v1,768,1540.360000,1540.35906000,-0.940000,2.056000,2.048920817,-0.344318,25.918483,173,1,144.998932,121.259308,2.849426,1.516113,25.489502,63351,52979,9337,1242,20881,,,,0,0,0,0,0
fullband_2001_145mA_v1,769,1540.380000,1540.37831000,-1.690000,2.056000,2.051104791,-0.238094,27.520517,154,1,144.998932,129.190063,5.499878,29.746094,23.699951,63351,56444,18022,24368,19415,,,,0,0,0,0,0
fullband_2001_145mA_v1,770,1540.400000,1540.39951000,-0.490000,2.056000,2.073071762,0.830339,26.520172,177,1,144.998932,121.451569,6.594238,1.621094,27.027588,63351,53063,21608,1328,22141,,,,0,0,0,0,0
fullband_2001_145mA_v1,771,1540.420000,1540.41915000,-0.850000,2.056000,2.054682850,-0.064064,25.176708,167,1,144.998932,125.548553,7.316284,1.500244,25.500488,63351,54853,23974,1229,20890,,,,0,0,0,0,0
fullband_2001_145mA_v1,772,1540.440000,1540.43997000,-0.030000,2.056000,2.056996639,0.048475,33.064418,168,1,144.998932,120.753479,1.893616,1.523438,26.934814,63351,52758,6205,1248,22065,,,,0,0,0,0,0
fullband_2001_145mA_v1,773,1540.460000,1540.45897000,-1.030000,2.056000,2.062306407,0.306732,24.989140,180,1,144.998932,122.673798,0.341492,1.500244,25.650635,63351,53597,1119,1229,21013,,,,0,0,0,0,0
fullband_2001_145mA_v1,774,1540.480000,1540.47865000,-1.350000,2.056000,2.051204422,-0.233248,25.198883,163,1,144.998932,118.428040,0.320435,1.402588,25.523682,63351,51742,1050,1149,20909,,,,0,0,0,0,0
fullband_2001_145mA_v1,775,1540.500000,1540.50005000,0.050000,2.056000,2.049986358,-0.292492,29.378209,166,1,144.998932,122.845459,6.478577,1.524658,22.498779,63351,53672,21229,1249,18431,,,,0,0,0,0,0
